Семейство,Име,Абревиатура,Създател,Тип лиценз,Данни за лиценза,Достъп с чат интерфейс,Лиценз за достъп с чат интерфейс,Достъп с API,Лиценз за достъп с API,Достъп за изтегляне,Лиценз за изтегляне,Дата на публикуване,Модалност,Размер в брой параметри,Архитектура на модела,Директна връзка към официалната страница на модела (ако има),Връзка в Ollama (ако има),Връзка в GitHub (ако има),Връзка в HuggingFace (ако има),Кратко описание на предназначението на модела,Кратко описание на данните за трениране,Кратко описание на начина на трениране,Многоезичен,Заложени езици,Включва ли се български,Включва ли се български (детайли),Информация за данните за тестване,"Връзки към публикации, описващи модела",Дължина на контекста,Допълнителни методи или особености на модела,Фина настройка,Други детайли
Llama,Llama 2 Chat,Llama 2 Chat,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",да,безплатен,да,безплатен,да,безплатен,18.07.2023,текст към текст,7 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>",Моделът е фино настроен за диалог и други свързани с това приложения.,Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models, <a href=""https://arxiv.org/pdf/2307.09288"" target=""_blank"">https://arxiv.org/pdf/2307.09288</a>",4K,Grouped-Query Attention (GQA),"Използва публично достъпни бази данни с инструкции и над 1 милион човешки анотации супервизирана фина настройка. Използва също така учене с подсилване чрез човешка обратна връзка (reinforcement learning from human feedback, RLHF).",
Llama,Llama 2 Chat,Llama 2 Chat,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",да,безплатен,да,безплатен,да,безплатен,18.07.2023,текст към текст,13 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>",Моделът е фино настроен за диалог и други свързани с това приложения.,Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models, <a href=""https://arxiv.org/pdf/2307.09288"" target=""_blank"">https://arxiv.org/pdf/2307.09288</a>",4K,Grouped-Query Attention (GQA),"Използва публично достъпни бази данни с инструкции и над 1 милион човешки анотации супервизирана фина настройка. Използва също така учене с подсилване чрез човешка обратна връзка (reinforcement learning from human feedback, RLHF).",
Llama,Llama 2 Chat,Llama 2 Chat,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",да,безплатен,да,безплатен,да,безплатен,18.07.2023,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>",Моделът е фино настроен за диалог и други свързани с това приложения.,Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models, <a href=""https://arxiv.org/pdf/2307.09288"" target=""_blank"">https://arxiv.org/pdf/2307.09288</a>",4K,Grouped-Query Attention (GQA),"Използва публично достъпни бази данни с инструкции и над 1 милион човешки анотации супервизирана фина настройка. Използва също така учене с подсилване чрез човешка обратна връзка (reinforcement learning from human feedback, RLHF).",
Llama,Llama 2,Llama 2,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,18.07.2023,текст към текст,7 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models (<a href=""https://arxiv.org/pdf/2307.09288)"" target=""_blank"">https://arxiv.org/pdf/2307.09288)</a>",4K,Grouped-Query Attention (GQA),,
Llama,Llama 2,Llama 2,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,18.07.2023,текст към текст,13 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models (<a href=""https://arxiv.org/pdf/2307.09288)"" target=""_blank"">https://arxiv.org/pdf/2307.09288)</a>",4K,Grouped-Query Attention (GQA),,
Llama,Llama 2,Llama 2,"GenAI, Meta","Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,18.07.2023,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/llama2"" target=""_blank"">https://ollama.com/library/llama2</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 2 трилиона (2 х 10^12) токъна от публично достъпни онлайн ресурси.,"Предварително изчистване на данните, подобряване на разнообразието на данните, предварителна нормализация с RMSNorm.",да,"Английски (90% от данните), немски, френски, испански, китайски, японски, португалски, италиански, полски; много малко данни за други езици.",не,"не, но позволява трениране върху данни на други езици","Тестван и оценен по следните характеристики: Код, Разсъждение, Знание за света, Четене с разбиране, Математика и др. Превъзхожда отворените модели. Представя се близо до резултатите на GPT-3.5.","Llama 2: Open Foundation and Fine-Tuned Chat Models (<a href=""https://arxiv.org/pdf/2307.09288)"" target=""_blank"">https://arxiv.org/pdf/2307.09288)</a>",4K,Grouped-Query Attention (GQA),,
Llama,Progressive LLaMA with Block Expansion (Llama 2),LLaMA Pro 8.3B,Tencent Applied Research Center (ARC),"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,не,,да,безплатен,8.2024,текст към текст,8.3 милиарда параметъра,"само декодер (Vaswani et al., 2017)",,"<a href=""https://ollama.com/library/llama-pro"" target=""_blank"">https://ollama.com/library/llama-pro</a>","<a href=""https://github.com/TencentARC/LLaMA-Pro"" target=""_blank"">https://github.com/TencentARC/LLaMA-Pro</a>","<a href=""https://huggingface.co/TencentARC/LLaMA-Pro-8B-Instruct"" target=""_blank"">https://huggingface.co/TencentARC/LLaMA-Pro-8B-Instruct</a>","Традиционни задачи за разсъждение, извличане на информация и др., интегриране на общо и тематично специализирано съдържание в областта на математиката и програмирането",Разширяване на модела Llama 2 (7B) с добавяне на 8 блока (въвеждане на ново знание на етапа след тренирането),Разширяване на модела Llama 2 (7B) с добавяне на 8 блока (въвеждане на ново знание на етапа след тренирането),да,Многоезичен,не,,"Тестван на езикови данни, математически данни и код","LLaMA Pro: Progressive LLaMA with Block Expansion, <a href=""https://aclanthology.org/2024.acl-long.352.pdf"" target=""_blank"">https://aclanthology.org/2024.acl-long.352.pdf</a>",4K,,Допълнителни 80 милиарда токъна.,
Llama,Llama 3,Llama 3,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,18.04.2024,текст към текст,8 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3"" target=""_blank"">https://ollama.com/library/llama3</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15 трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Отделно 5% от данните на над 30 езика.",не,,"Оценка въз основа на 1800 пропмта в 12 ключови ситуации: искане на съвет, брейнсторминг, класификация, отговор на затворен въпрос, кодиране, творческо писане, извличане на информация, превъплащаване в герой/персона, отворен отговор на въпрос, разсъждение, пренаписване на текст и обобщение.","Introducing Meta Llama 3: The most capable openly available LLM to date, <a href=""https://ai.meta.com/blog/meta-llama-3/"" target=""_blank"">https://ai.meta.com/blog/meta-llama-3/</a>; The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",8K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)",,
Llama,Llama 3,Llama 3,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,да,безплатен,да,безплатен,18.04.2024,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3"" target=""_blank"">https://ollama.com/library/llama3</a>","<a href=""https://github.com/facebookresearch/llama"" target=""_blank"">https://github.com/facebookresearch/llama</a>","<a href=""https://huggingface.co/meta-llama"" target=""_blank"">https://huggingface.co/meta-llama</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15 трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски. Отделно 5% от данните на над 30 езика.",не,,"Оценка въз основа на 1800 пропмта в 12 ключови ситуации: искане на съвет, брейнсторминг, класификация, отговор на затворен въпрос, кодиране, творческо писане, извличане на информация, превъплащаване в герой/персона, отворен отговор на въпрос, разсъждение, пренаписване на текст и обобщение.","Introducing Meta Llama 3: The most capable openly available LLM to date, <a href=""https://ai.meta.com/blog/meta-llama-3/"" target=""_blank"">https://ai.meta.com/blog/meta-llama-3/</a>; The Llama 3 Herd of Models, <a href=""https://ai.meta.com/research/publications/the-llama-3-herd-of-models/"" target=""_blank"">https://ai.meta.com/research/publications/the-llama-3-herd-of-models/</a>",8K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)",,
Llama,Llama 3.3,Llama 3.3,Meta,"Свободен, с ограничения","Llama лиценз с ограничения за академични и комерсиални цели, <a href=""https://ai.meta.com/llama/license/"" target=""_blank"">https://ai.meta.com/llama/license/</a>",не,,не,,не,,06.12.2024,текст към текст,70 милиарда параметъра,"само декодер (Vaswani et al., 2017)","<a href=""https://www.llama.com/llama-downloads/"" target=""_blank"">https://www.llama.com/llama-downloads/</a>","<a href=""https://ollama.com/library/llama3.3"" target=""_blank"">https://ollama.com/library/llama3.3</a>","<a href=""https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md"" target=""_blank"">https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md</a>","<a href=""https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct"" target=""_blank"">https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct</a>","Моделът е подходящ за различни задачи за генериране на текст, отговаряне на въпроси, обобщения и разсъждения.",Предварително е трениран върху 15+ трилиона (15 х 10^12) токъна от публично достъпни онлайн ресурси.,"Паралелна обработка на ниво данни, на ниво модели и на ниво пайплайн.",да,"Официално 8 езика: английски, немски, френски, италиански, португалски, хинди, испански, тайландски.",не,,,,128K,"Grouped-Query Attention (GQA); supervised fine-tuning (SFT), rejection sampling, proximal policy optimization (PPO), and direct preference optimization (DPO)",,
